Id,PrimeiroNome,UltimoNome,Genero
23,Ali,Astin,F
11,Claire,Danes,F
2,Deborah,Kerr,F
14,Kate,Winslet,F
19,Maggie,Gyllenhaal,F
21,Sigourney,Weaver,F
