Id,Nome,Ano,Duracao
8,Os Suspeitos,1995,106
17,Amargo pesadelo,1972,109
20,Donnie Darko,2001,113
28,De Volta para o Futuro,1985,116
6,Blade Runner,1982,117
23,Uma Vida sem Limites,2004,118
21,Quem Quer Ser um Milionário?,2008,120
14,Beleza Americana,1999,122
27,A Viagem de Chihiro,2001,125
16,Gênio Indomável,1997,126
1,Um Corpo que Cai,1958,128
9,Chinatown,1974,130
19,O Grande Truque,2006,130
12,Princesa Mononoke,1997,134
22,"Aliens, O Resgate",1986,137
13,Um Sonho de Liberdade,1994,142
