Nome,Ano
Um Corpo que Cai,1958
Os Inocentes,1961
Lawrence da Arábia,1962
O Franco Atirador,1978
Amadeus,1984
Blade Runner,1982
De Olhos Bem Fechados,1999
Os Suspeitos,1995
Chinatown,1974
Boogie Nights - Prazer Sem Limites,1997
"Noivo Neurótico, Noiva Nervosa",1977
Princesa Mononoke,1997
Um Sonho de Liberdade,1994
Beleza Americana,1999
Titanic,1997
Gênio Indomável,1997
Amargo pesadelo,1972
Trainspotting - Sem Limites,1996
O Grande Truque,2006
Donnie Darko,2001
Quem Quer Ser um Milionário?,2008
"Aliens, O Resgate",1986
Uma Vida sem Limites,2004
Avatar,2009
Coração Valente,1995
Os Sete Samurais,1954
A Viagem de Chihiro,2001
De Volta para o Futuro,1985
